"","Kit.ID","Parent.Sample","Volume","Box","Row","Col","Box.ID","Pos.ID","Sample.type"
"112","KL-0025990","S-2305-009064",500,"BX-00033018","A",9,"BX240153","D1","Urine"
"113","KL-0025991","S-1909-000835",500,"BX-00033017","B",3,"BX240152","D2","Urine"
"114","KL-0025992","S-2001-009520",500,"BX-00033018","F",6,"BX240153","G6","Urine"
"115","KL-0025993","S-2007-001723",500,"BX-00033017","D",6,"BX240152","B5","Urine"
"116","KL-0026167","S-2105-008294",500,"BX-00033017","G",1,"BX240152","H7","Urine"
"117","KL-0026168","S-2401-008475",500,"BX-00033018","C",5,"BX240153","B3","Urine"
"118","KL-0026169","S-2112-002980",500,"BX-00033017","H",5,"BX240152","F9","Urine"
"119","KL-0026170","S-1909-008771",500,"BX-00033018","E",9,"BX240153","A6","Urine"
"120","KL-0026171","S-1909-002648",500,"BX-00033017","B",4,"BX240152","E2","Urine"
"121","KL-0026172","S-2106-016255",500,"BX-00033017","G",3,"BX240152","C8","Urine"
"122","KL-0026173","S-2002-014104",500,"BX-00033018","G",1,"BX240153","C7","Urine"
"123","KL-0026174","S-2006-004410",500,"BX-00033017","D",5,"BX240152","A5","Urine"
"124","KL-0026175","S-2312-004771",500,"BX-00033018","C",1,"BX240153","F2","Urine"
"125","KL-0026176","S-2112-004395",500,"BX-00033017","I",8,"BX240152","B11","Urine"
"126","KL-0026177","S-2001-009466",500,"BX-00033018","F",5,"BX240153","F6","Urine"
"127","KL-0026178","S-2306-008090",500,"BX-00033018","B",3,"BX240153","G1","Urine"
"128","KL-0026179","S-2002-013915",500,"BX-00033017","D",1,"BX240152","E4","Urine"
"129","KL-0026180","S-1909-008060",500,"BX-00033017","B",6,"BX240152","G2","Urine"
"130","KL-0026181","S-2402-002051",500,"BX-00033018","C",6,"BX240153","C3","Urine"
"131","KL-0026776","S-2307-003110",500,"BX-00033018","B",5,"BX240153","A2","Urine"
"132","KL-0026777","S-1903-008765",500,"BX-00033017","A",5,"BX240152","E1","Urine"
"133","KL-0026923","S-1903-008765",500,"BX-00033018","D",3,"BX240153","B4","Urine"
"134","KL-0026924","S-2303-007214",500,"BX-00033018","A",7,"BX240153","B1","Urine"
"135","KL-0026993","S-2307-002907",500,"BX-00033018","B",4,"BX240153","H1","Urine"
"136","KL-0028478","S-2002-013915",500,"BX-00033018","F",8,"BX240153","A7","Urine"
"137","KL-0028479","S-1903-008549",500,"BX-00033018","D",2,"BX240153","A4","Urine"
"138","KL-0028501","S-2104-015498",500,"BX-00033017","F",4,"BX240152","B7","Urine"
"139","KL-0029433","S-1903-008819",500,"BX-00033017","A",6,"BX240152","F1","Urine"
"140","KL-0029436","S-2201-023721",500,"BX-00033017","I",9,"BX240152","C11","Urine"
"141","KL-0029439","S-2401-007062",500,"BX-00033018","C",4,"BX240153","A3","Urine"
"142","KL-0029810","S-1909-000211",500,"BX-00033017","B",1,"BX240152","B2","Urine"
"143","KL-0030113","S-2104-015500",500,"BX-00033017","F",6,"BX240152","D7","Urine"
"144","KL-0030114","S-2112-003453",500,"BX-00033017","H",9,"BX240152","B10","Urine"
"145","KL-0030928","S-1909-008609",500,"BX-00033018","E",7,"BX240153","G5","Urine"
"146","KL-0030929","S-2001-009466",500,"BX-00033017","C",7,"BX240152","B4","Urine"
"147","KL-0031044","S-1903-008549",500,"BX-00033017","A",4,"BX240152","D1","Urine"
"148","KL-0031048","S-1909-008718",500,"BX-00033018","E",8,"BX240153","H5","Urine"
"149","KL-0031525","S-2011-001324",500,"BX-00033017","D",9,"BX240152","E5","Urine"
"150","KL-0031526","S-2111-018690",500,"BX-00033017","H",2,"BX240152","C9","Urine"
"151","KL-0031830","S-1903-008981",500,"BX-00033018","D",7,"BX240153","F4","Urine"
"152","KL-0031860","S-1909-008771",500,"BX-00033017","C",2,"BX240152","E3","Urine"
"153","KL-0031960","S-1903-008492",500,"BX-00033018","D",1,"BX240153","H3","Urine"
"154","KL-0031973","S-2102-005377",500,"BX-00033017","E",8,"BX240152","E6","Urine"
"155","KL-0031995","S-2002-014104",500,"BX-00033017","D",3,"BX240152","G4","Urine"
"156","KL-0032012","S-2112-003924",500,"BX-00033017","I",4,"BX240152","F10","Urine"
"157","KL-0032107","S-2112-004160",500,"BX-00033017","I",6,"BX240152","H10","Urine"
"158","KL-0032116","S-1909-008171",500,"BX-00033017","B",8,"BX240152","B3","Urine"
"159","KL-0032300","S-2001-007233",500,"BX-00033017","C",6,"BX240152","A4","Urine"
"160","KL-0032309","S-2112-003806",500,"BX-00033017","I",3,"BX240152","E10","Urine"
"161","KL-0032310","S-2106-004832",500,"BX-00033017","G",2,"BX240152","A8","Urine"
"162","KL-0032623","S-2307-003164",500,"BX-00033018","B",6,"BX240153","B2","Urine"
"163","KL-0032624","S-1909-007475",500,"BX-00033017","B",5,"BX240152","F2","Urine"
"164","KL-0032629","S-2205-004210",500,"BX-00033018","A",1,"BX240152","D11","Urine"
"165","KL-0032917","S-1903-008819",500,"BX-00033018","D",4,"BX240153","C4","Urine"
"166","KL-0033181","S-1903-008927",500,"BX-00033017","A",8,"BX240152","H1","Urine"
"167","KL-0033428","S-2112-003216",500,"BX-00033017","H",7,"BX240152","H9","Urine"
"168","KL-0033431","S-2012-002333",500,"BX-00033017","E",2,"BX240152","G5","Urine"
"169","KL-0033537","S-1912-003242",500,"BX-00033017","C",5,"BX240152","H3","Urine"
"170","KL-0033948","S-1909-000835",500,"BX-00033018","E",1,"BX240153","A5","Urine"
"171","KL-0034135","S-2105-008242",500,"BX-00033017","F",9,"BX240152","G7","Urine"
"172","KL-0034293","S-2007-001829",500,"BX-00033017","D",7,"BX240152","C5","Urine"
"173","KL-0034295","S-2401-007037",500,"BX-00033018","C",3,"BX240153","H2","Urine"
"174","KL-0034344","S-2306-002301",500,"BX-00033018","B",1,"BX240153","E1","Urine"
"175","KL-0034489","S-2006-004359",500,"BX-00033017","D",4,"BX240152","H4","Urine"
"176","KL-0034756","S-2308-003099",500,"BX-00033018","B",7,"BX240153","C2","Urine"
